SD,LSID,Easting,Northing,Fecha_de_Deployment,Picada,Demarcación_Pozos,Limpieza_terreno,Excavación,ID_M101,RA_M101,RD_M101,PA_M101,ID_M102,RA_M102,RD_M102,PA_M102,ID_M103,RA_M103,RD_M103,PA_M103,Radio_Mikrotik,IP,Cap_HS,Radio_Uptime,Front_End,Panel_Solar_(SD),Cableado_UMDs,eKit_M101,eKit_M102,eKit_M103,AMIGA_Box,TX,Distrib.,Mallado,Tubing_PS,Soporte_PS,PS_AMIGA,BBox,Bateria_1,Bateria_2,Regulador,Status,Tipo,To_Do,ID_M101_CU,RA_M101_CU,RD_M101_CU,PA_M101_CU,ID_M102_CU,RA_M102_CU,RD_M102_CU,PA_M102_CU,ID_M103_CU,RA_M103_CU,RD_M103_CU,PA_M103_CU,ID_M104_CU,RA_M104_CU,RD_M104_CU,PA_M104_CU,ID_M105_CU,RA_M105_CU,RD_M105_CU,PA_M105_CU,ID_M106_CU,RA_M106_CU,RD_M106_CU,PA_M106_CU,ID_M107_CU,RA_M107_CU,RD_M107_CU,PA_M107_CU,ID_M108_CU,RA_M108_CU,RD_M108_CU,PA_M108_CU,ID_M109_CU,RA_M109_CU,RD_M109_CU,PA_M109_CU,eKit_M101_CU,eKit_M102_CU,eKit_M103_CU,eKit_M104_CU,eKit_M105_CU,eKit_M106_CU,eKit_M107_CU,eKit_M108_CU,eKit_M109_CU,a_M101_CU,a_M102_CU,a_M103_CU,a_M104_CU,a_M105_CU,a_M106_CU,a_M107_CU,a_M108_CU,a_M109_CU,label_M101,label_M102,label_M103,label_M101_CU,label_M102_CU,label_M103_CU,label_M104_CU,label_M105_CU,label_M106_CU,label_M107_CU,label_M108_CU,label_M109_CU
CHICHINO JR,30,450622.16,6114356.58,1/7/19,OK,OK,OK,OK,M-041,4,"9,15",57,M-043,91,"7,7",18,M-275,91,"9,15",15,OK,10.0.55.x,OK,OK,UUB-A,170W,OK,SN0068,SN0102,SN0109,UUB-A,UUB-A,SN0032-V7,,OK,OK,M1031209028488,OK,5,15,18170125,In ACQ,433m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M101,M102,M103,,,,,,,,,
CATHERINA,12,450620.0,6114794.0,5/7/19,OK,OK,OK,OK,M-048,2,9,307,M-049,93,"7,7",346,M-047,93,"9,2",349,OK,10.0.44.x,OK,OK,UUB-A,170W,OK,SN0078,SN0075,SN0079,UUB-A,UUB-A,SN0055-V7,,OK,OK,M1031209028495,OK,51,60,18170216,In ACQ,433m,13/2/23: Revisar M101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M101,M102,M103,,,,,,,,,
LETY JR,97,451002.08,6115009.85,11/7/19,OK,OK,OK,OK,M-044,0,"8,9",58,M-046,90,"7,3",17,M-045,90,"8,8",14,OK,10.0.77.x,OK,OK,UUB-A,170W,OK,SN0094,SN0059,SN0111,UUB-A,UUB-A,SN0048-V7,,OK,OK,M1031209028495,OK,77,78,18170241,In ACQ,433m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M101,M102,M103,,,,,,,,,
ALBERTO JR,28,451004.5,6115441.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OK,10.0.9.x,Stable,OK,UUB-A,170W,,,,,,,,,,,,,,,, ,433m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXIS JR,29,450243.2,6114997.2,5/12/19,OK,OK,OK,OK,M-075,0,"9,05",57,M-073,90,"7,7",17,M-074,90,"9,05",14,OK,10.0.81.x,OK,OK,UUB-A,170W,OK,SN0053,SN0049,SN0058,UUB-A,UUB-A,SN0008-V7,,OK,OK,M1031209028594,OK,11,28,18170246,In ACQ,433m,"28/2/23: Arreglar cable de antena, conector flojo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M101,M102,M103,,,,,,,,,
VANESA JR,27,450250.88,6114143.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OK,10.0.12.x,OK,OK,UUB-A,170W,,,,,,,,,,,,,,,, ,433m,14/2/23: Reparar y colocar radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUONES JR,54,451745.12,6115007.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OK,10.0.60.x,OK,OK,UUB-A,170W,,,,,,,,,,,,,,,, ,433m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOLDEMORT JR,50,451744.65,6114140.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OK,10.0.25.x,OK,OK,UUB-A,170W,,,,,,,,,,,,,,,, ,433m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACOLINO JR,42,450994.48,6113707.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OK,10.0.90.x,OK,OK,UUB-A,170W,,,,,,,,,,,,,,,, ,433m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETEROA JR,39,451009.88,6114558.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,UUB,170W,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Twins_KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
