451401 6114801
451393 6114798
451379 6114798
451365 6114798
451345 6114803
451338 6114805
451334 6114808
451254 6114901
451178 6114991
451085 6115103
450966 6115244
450875 6115350
450762 6115485
450646 6115626
450525 6115767
450470 6115835
450404 6115913
450356 6115970
450253 6116090
450196 6116159
450159 6116203
450111 6116260
450031 6116354
449938 6116467
449875 6116542
449826 6116599
449791 6116640
449723 6116724
449676 6116779
449629 6116834
449534 6116946
449478 6117012
449389 6117119
449316 6117206
449197 6117351
449068 6117503
448973 6117613
448958 6117639
448947 6117662
448930 6117684
448908 6117703
448877 6117718
448819 6117743
448793 6117755
448770 6117772
448734 6117803
448673 6117859
448622 6117909
448591 6117938
448563 6117959
448536 6117972
448517 6117978
448509 6117983
448503 6117992

450979 6114773
450980 6114756
450980 6114731
450979 6114724
450979 6114682
450977 6114660
450982 6114642
450981 6114623
450984 6114617
450989 6114609
450988 6114598
450980 6114583
450979 6114574
450983 6114567
450989 6114559
450968 6114549
450940 6114543
450924 6114533
450906 6114519
450882 6114511
450866 6114500
450849 6114485
450818 6114474
450800 6114463
450789 6114458
450773 6114455
450756 6114447
450736 6114429
450718 6114420
450703 6114414
450690 6114403
450685 6114390

451334 6114808
451329 6114802
451322 6114797
451313 6114798
451300 6114806
451285 6114816
451278 6114824
451273 6114830
451264 6114835
451233 6114864
451218 6114882
451188 6114906
451154 6114932
451145 6114939
451128 6114949
451106 6114966
451085 6114984
451065 6114993
451037 6115002
451010 6115012
450996 6115016
450985 6115017
450977 6115016
450965 6115009
450957 6115000
450947 6114993
450934 6114983
450919 6114968
450909 6114956
450900 6114949
450878 6114936
450865 6114929
450857 6114921
450843 6114907
450832 6114900
450806 6114889
450789 6114885
450774 6114883
450760 6114879
450742 6114872
450711 6114852
450698 6114843
450682 6114837
450640 6114816
450629 6114809
450624 6114803
450620 6114796
450619 6114782
450618 6114708
450620 6114686
450620 6114657
450620 6114650
450623 6114640
450621 6114612
450619 6114597
450616 6114581
450613 6114573
450664 6114404
450673 6114395
450691 6114385
450697 6114378
450702 6114361
450706 6114351
450720 6114335
450731 6114319
450740 6114303
450754 6114291
450772 6114273
450783 6114261
450814 6114235
450845 6114215
450854 6114197
450857 6114181
450864 6114167
450866 6114153
450866 6114137
450870 6114133
450882 6114123
450916 6114120
450954 6114123
450989 6114123
450997 6114117
451004 6114100
451007 6114082
451018 6114075
451034 6114074
451135 6114076
451197 6114073
451214 6114072
451229 6114074
451242 6114069
451245 6114066
451252 6114064
451255 6114068
451254 6114087
451255 6114098
451260 6114109
451260 6114119
451258 6114143
451259 6114169
451259 6114181
451251 6114209
451261 6114207
451278 6114199
451302 6114189
451317 6114181
451331 6114163
451352 6114140
451362 6114135
451373 6114134
451380 6114138
451389 6114166
451392 6114203
451396 6114228
451394 6114260
451390 6114284
451390 6114293
451380 6114318
451380 6114367
451366 6114432
451369 6114458
451384 6114502
451385 6114514
451381 6114531
451382 6114556
451378 6114585
451379 6114599
451373 6114611
451376 6114635
451368 6114653
451350 6114714
451347 6114727
451348 6114739
451346 6114746
451348 6114760
451346 6114771
451339 6114778
451331 6114785
451328 6114793
451329 6114801

448953 6117648
448951 6117639
448949 6117630
448949 6117612
448957 6117582
448976 6117507
448993 6117433
449024 6117326
449052 6117216
449068 6117148
449090 6117051
449119 6116933
449135 6116854
449163 6116730
449193 6116615
449221 6116502
449235 6116452
449246 6116422
449254 6116404
449327 6116283
449382 6116191
449396 6116166
449402 6116149
449404 6116133
449399 6116112
449348 6116004
449232 6115768
449129 6115567
449125 6115555
449129 6115546
449133 6115540
449142 6115534
449156 6115533
449172 6115531
449192 6115514
449207 6115502
449207 6115492
449205 6115483
449194 6115466
449184 6115452
449175 6115446
449150 6115435
449140 6115429
449129 6115414
449121 6115397
449105 6115373
449061 6115326
449051 6115311
449048 6115298
449055 6115273
449072 6115191
449081 6115170
449108 6115085
449115 6115058
449151 6114935
449202 6114752
449281 6114471
449341 6114255
449406 6114021
449427 6113944
449431 6113940
449437 6113938
449448 6113940
449477 6113947
449498 6113945
449524 6113937
449551 6113935
449589 6113928
449618 6113923
449643 6113922
449659 6113934
449673 6113931
449707 6113926
449731 6113926
449767 6113927
449780 6113935
449791 6113942
449810 6113941
449831 6113938
449851 6113938

450464 6115035
450454 6115031
450431 6115030
450412 6115030
450405 6115031
450396 6115030
450388 6115025
450380 6115019
450369 6115013
450356 6115009
450343 6115009
450314 6115009
450281 6115000
450261 6114995
450244 6114995

450466 6115035
450482 6115027
450507 6115023
450518 6115021
450533 6115014
450556 6115010
450573 6115007
450591 6115011
450615 6115020
450627 6115022
450631 6115021

449768 6114707
449766 6114728
449766 6114743
449763 6114752
449756 6114764
449746 6114774
449742 6114779
449742 6114785
449739 6114789

449636 6114697
449633 6114671
449629 6114651
449625 6114643
449630 6114634
449628 6114619
449621 6114606
449621 6114596
449626 6114576

448607 6114640
448625 6114627
448645 6114604
448656 6114586
448676 6114562
448691 6114550
448695 6114541
448707 6114523
448715 6114516
448717 6114507
448723 6114495
448721 6114485
448723 6114471
448726 6114464
448733 6114459
448745 6114454
448753 6114439
448761 6114407
448765 6114379
448763 6114371
448758 6114368

450250 6113889
450263 6113915
450267 6113929
450261 6113938
450261 6113947
450262 6113958
450254 6113973
450252 6113989
450260 6113998
450268 6114017
450278 6114035
450280 6114045
450281 6114060
450290 6114069
450305 6114081
450326 6114096
450337 6114099
450350 6114102
450360 6114107
450371 6114124
450378 6114133
450386 6114133
450388 6114140

450630 6114143
450638 6114141
450646 6114145
450656 6114152
